date,open,high,low,close,volume
2020-02-06,55.73,55.78,55.5,55.73,114261
2020-02-07,55.68,55.81,55.37,55.79,17109
2020-02-10,55.7,55.95,55.48,55.95,56122
2020-02-11,56.34,56.57,56.29,56.46,31467
2020-02-12,56.43,56.71,56.4,56.71,14298
2020-02-13,56.62,56.97,56.47,56.97,23785
2020-02-14,57.13,57.19,56.9,57.06,28853
2020-02-17,57.25,57.3,57.2,57.28,24993
2020-02-18,56.9,57.2,56.84,56.84,127968
2020-02-19,57.24,57.49,57.2,57.49,39930
2020-02-20,57.47,57.48,57.19,57.19,69387
2020-02-21,56.83,57.0,56.2,56.44,71901
2020-02-24,55.5249,55.5249,54.6294,54.6821,41212
2020-02-25,54.93,54.97,53.56,53.69,135066
2020-02-26,53.09,53.64,52.0,53.44,284561
2020-02-27,51.85,51.98,50.2,50.92,90243
2020-02-28,48.92,49.26,47.785,48.6,370137
2020-03-02,49.641,50.0,47.9738,49.4386,31849
2020-03-03,50.59,51.48,49.855,49.855,212659
2020-03-04,49.91,50.73,49.85,50.43,120143
2020-03-05,50.84,50.84,49.785,50.45,44721
2020-03-06,48.8,48.885,47.005,47.77,101966
2020-03-09,45.672,46.375,43.491,44.8145,13081
2020-03-10,45.51,46.555,44.165,44.835,173300
2020-03-11,45.645,45.87,44.78,45.185,63736
2020-03-12,42.725,42.835,41.355,41.835,78600
2020-03-13,42.575,43.485,41.235,42.115,276888
2020-03-16,41.3717,42.5,39.03,41.2436,68886
2020-03-17,41.45,42.3,39.57,41.75,136605
2020-03-18,39.98,41.195,39.24,40.305,78677
2020-03-19,40.045,41.92,39.66,41.23,108441
2020-03-20,42.16,42.735,40.595,40.595,263534
2020-03-23,38.0015,40.423,37.38,38.1491,153291
2020-03-24,39.615,41.015,39.295,41.015,82702
2020-03-25,41.89,42.46,40.7,42.45,184781
2020-03-26,40.89,43.295,40.6,43.11,79560
2020-03-27,42.925,43.0,41.95,42.125,141419
2020-03-30,42.2692,43.3377,41.6437,43.3377,4697
2020-03-31,43.945,44.21,43.345,44.085,57690
2020-04-01,41.92,42.325,41.665,41.99,49217
2020-04-02,42.01,42.77,41.325,42.35,64796
2020-04-03,42.455,43.185,42.28,42.38,28326
2020-04-06,43.97,44.3828,43.7682,44.3166,544002
2020-04-07,45.675,46.42,45.36,45.865,87384
2020-04-08,45.0,45.77,44.69,45.77,35707
2020-04-09,46.75,47.22,45.815,46.885,39800
2020-04-14,47.205,47.605,46.935,47.26,80603
